year,event,bout,method,judge,score,pos
2025,UFC 317: Topuria vs. Oliveira,Van def. Royval,Unanimous,BELL,29 - 28,1
2025,UFC 317: Topuria vs. Oliveira,Van def. Royval,Unanimous,MCCARTHY,29 - 28,2
2025,UFC 317: Topuria vs. Oliveira,Van def. Royval,Unanimous,WERNER,30 - 27,3
2025,UFC 317: Topuria vs. Oliveira,Dariush def. Moicano,Unanimous,BELL,29 - 28,1
2025,UFC 317: Topuria vs. Oliveira,Dariush def. Moicano,Unanimous,KAMIJO,29 - 28,2
2025,UFC 317: Topuria vs. Oliveira,Dariush def. Moicano,Unanimous,LETHABY,29 - 28,3
2025,UFC 317: Topuria vs. Oliveira,Talbott def. Lima,Unanimous,CARTLIDGE,29 - 28,1
2025,UFC 317: Topuria vs. Oliveira,Talbott def. Lima,Unanimous,LEE,29 - 28,2
2025,UFC 317: Topuria vs. Oliveira,Talbott def. Lima,Unanimous,MCCARTHY,29 - 28,3
2025,UFC 317: Topuria vs. Oliveira,Cortez def. Araujo,Unanimous,BELL,30 - 27,1
2025,UFC 317: Topuria vs. Oliveira,Cortez def. Araujo,Unanimous,D'AMATO,30 - 27,2
2025,UFC 317: Topuria vs. Oliveira,Cortez def. Araujo,Unanimous,MCCARTHY,30 - 27,3
2025,UFC 317: Topuria vs. Oliveira,Diniz def. Hines,Unanimous,LEE,29 - 28,1
2025,UFC 317: Topuria vs. Oliveira,Diniz def. Hines,Unanimous,WEEKS,29 - 28,2
2025,UFC 317: Topuria vs. Oliveira,Diniz def. Hines,Unanimous,WERNER,29 - 28,3
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Rountree Jr. def. Hill,Unanimous,CARTLIDGE,49 - 46,1
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Rountree Jr. def. Hill,Unanimous,LETHABY,50 - 45,2
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Rountree Jr. def. Hill,Unanimous,WERNER,50 - 45,3
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Fiziev def. Bahamondes,Unanimous,COLÓN,30 - 27,1
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Fiziev def. Bahamondes,Unanimous,PAOLILLO,30 - 27,2
2025,UFC on ABC 8: Hill vs. Rountree Jr.,Fiziev def. Bahamondes,Unanimous,RANSOM,30 - 27,3
